Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left
BIO-371-E,20706,Research in Biology I,1,,,,Yong L,,,25
BIO-371-F,20709,Research in Biology I,1,,,,Villa S,,,25
BIO-371-G,20713,Research in Biology I,1,,,,Snyder N,,,25
BIO-371-H,20736,Research in Biology I,1,,,,Ramirez J,,,25
BIO-371-I,20755,Research in Biology I,1,,,,Paradise C,,,25
BIO-371-J,20785,Research in Biology I,1,,,,Mamoon N,,,25
BIO-372-A,20670,Research in Biology II,1,,,,Thurtle-Schmidt B,,,25
BIO-372-B,20705,Research in Biology II,1,,,,Smith A,,,25
BIO-372-C,20726,Research in Biology II,1,,,,Villa S,,,25
BIO-372-D,20739,Research in Biology II,1,,,,Levasseur K,,,25
BIO-372-E,20788,Research in Biology II,1,,,,Hales K,,,25
BIO-372-F,20810,Research in Biology II,1,,,,Smith M,,,25
BIO-373-A,20689,Research in Biology III,1,,,,Thurtle-Schmidt D,,,25
BIO-373-B,20690,Research in Biology III,1,,,,Wadgymar S,,,25
BIO-373-C,20704,Research in Biology III,1,,,,Smith A,,,25
BIO-373-D,20787,Research in Biology III,1,,,,Hales K,,,25
BIO-374-A,20737,Research in Biology IV,1,,,,Smith A,,,25
BIO-379-A,20688,Thesis in Biology,1,,,,Thurtle-Schmidt B,,,25
BIO-379-B,20702,Thesis in Biology,1,,,,Baran N,,,25
BIO-379-C,20710,Thesis in Biology,1,,,,Wessner D,,,25
BIO-379-D,20725,Thesis in Biology,1,,,,Melonakos J,,,25
BIO-379-E,20780,Thesis in Biology,1,,,,Smith M,,,25
BIO-379-F,20819,Thesis in Biology,1,,,,Hales K,,,25
BIO-391-A,20600,Maternal & Fetal Health,1,TR,12:15 PM - 1:30 PM,CHAM 2234,Melonakos J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
CHE-115-A,20083,Principles of Chemistry +Lab,1,M,1:30 PM - 4:20 PM,WALL 110,White T,,,25
CHE-115-B,20084,Principles of Chemistry +Lab,1,T,1:40 PM - 4:20 PM,WALL 110,White T,,,25
CHE-115-C,20085,Principles of Chemistry +Lab,1,W,1:30 PM - 4:20 PM,WALL 110,El-Zaatari B,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""}]",,25
CHE-115-D,20086,Principles of Chemistry +Lab,1,R,1:40 PM - 4:20 PM,WALL 110,El-Zaatari B,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""}]",,25
CHE-220-A,20087,Intro to Analytical Chem +Lab,1,M,1:30 PM - 4:20 PM,WALL 235,Blauch D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
