Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left,subject,course_number,section,credits,weekdays,start_time,end_time,building,room,enrolled,capacity,seats_remaining
SPA-352-A,20485,Contemp Latin American Cinema,1,TR,1:40 PM - 2:55 PM,CHAM 3198,Pena L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,352,A,1,TR,1340,1455,CHAM,3198,,,25
SPA-376-A,20543, Latinx Border Crossings,1,MWF,11:30 AM - 12:20 PM,CHAM 1027,Geyer C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,376,A,1,MWF,1130,1220,CHAM,1027,,,25
SPA-384-A,20486,Special Topics (post-1800),1,TR,12:15 PM - 1:30 PM,CHAM 3187,Maiz-Pena M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,384,A,1,TR,1215,1330,CHAM,3187,,,25
SPA-409-A,20487,Race&Empire in Hisp Atlantic  ,1,TR,3:05 PM - 4:20 PM,CHAM B027,Boyer P,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,409,A,1,TR,1505,1620,CHAM,B027,,,25
SPA-422-A,20488,Puerto Rico: Arts & Resistance,1,MW,2:30 PM - 3:45 PM,CHAM 3198,Willis A,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""},{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,422,A,1,MW,1430,1545,CHAM,3198,,,25
SPA-499-A,20671,"Sr Honors, Tutorial & Thesis",1,,,,Sanchez-Sanchez S,,,,SPA,499,A,1,,,,,,,,25
THE-200-A,20495,Production Technology,1,TR,9:40 AM - 10:55 AM,CUNN 132,Akard A,,,,THE,200,A,1,TR,0940,1055,CUNN,132,,,25
THE-210-A,20496,Leadrshp&Mgt in Arts,1,MWF,2:30 PM - 3:20 PM,CUNN 109,Henderson K,"[{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,,THE,210,A,1,MWF,1430,1520,CUNN,109,,,25
THE-232-A,20497,Scene Painting,1,F,10:30 AM - 1:20 PM,CUNN 130,Tripathi A,,,,THE,232,A,1,F,1030,1320,CUNN,130,,,25
THE-245-A,20498,Acting I,1,TR,8:55 AM - 10:55 AM,CUNN 100,Webb J,,,,THE,245,A,1,TR,0855,1055,CUNN,100,,,25
